1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1970,1970-71,1971-72,1972-73,1973-74,1974-75,1975-76
,,,,,,,,,,,,,,,,Hackett Brian H,Hackett Brian H,Hackett Brian H,Hackett Brian H,Hackett Brian H,Hackett Brian H,Hackett Brian H,Hackett Brian H,Hackett Brian H,Hackett Brian H,Hackett Brian H,Hackett Brian H,Hackett Brian H,Hackett Brian H,Hackett Brian H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hall (T R) & Phillips (L B),Hall (T R) & Phillips (L B),Hall (T R) & Phillips (L B),Hall (T R) & Phillips (L B),Hall (T R) & Phillips (L B),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Hall F R,Hall F R,Hall F R,Hall F R,Hall F R,Hall F R,Hall T R,Hall T R,,,,Hall F R,Hall F R,Hall F R,Hall T R,Hall T R,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Hall T R Phillips & Wilson,Hall T R Phillips & Wilson,Hall T R Phillips & Wilson,,,,,,Hall T R Phillips & Wilson,Hall T R Phillips & Wilson,Hall T R Phillips & Wilson,Hall T R Phillips & Wilson,Hall T R Phillips & Wilson,Hall T R Phillips & Wilson,Hall T R Phillips & Wilson,Hall T R Phillips & Wilson,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hall T R Phillips & Wilson Architects Pty Ltd,Hall T R Phillips & Wilson Architects Pty Ltd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Hamill P,Hamill P,Hamill P,Hamill P,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Hamill Peter,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hamilton A G,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Hammond J W,Hammond J W,Hammond J W,Hammond J W,Hammond J W,Hammond J W,Hammond J W,Hammond J W,Hammond J W,Hammond J W,Hammond J W,Hammond J W,Hammond J W,Hammond J W,Hammond J W
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Hancock E J J,Hancock E J J,Hancock E J J,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Hancock Edward J,Hancock Edward J,Hancock Edward J,Hancock Edward J,Hancock Edward J,Hancock Edward J,Hancock Edward J,Hancock Edward J,Hancock Edward J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Hanman Des & Associate,Hanman Des & Associate,Hanman Des & Associate,Hanman Des & Associate,Hanman Des & Associate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Hanman P J L,Hanman P J L,Hanman P J L,Hanman P J L,Hanman P J L,Hanman P J L,Hanman P J L,Hanman P J L,Hanman P J L,Hanman P J L,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hann G R,Hann G R,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Harboe Per,Harboe Per,Harboe Per,Harboe Per,Harboe Per,Harboe Per,Harboe Per,Harboe Per,Harboe Per,Harboe Per
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Hargraves Cecil F,Hargraves Cecil F,Hargraves Cecil F,Hargraves Cecil F,Hargraves Cecil F,Hargraves Cecil F,Hargraves Cecil F,Hargraves Cecil F,Hargraves Cecil F,Hargraves Cecil F,Hargraves Cecil F,Hargraves Cecil F,Hargraves Cecil F,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Hartley P G,Hartley P G,Hartley P G,Hartley P G
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Harvey P G,Harvey P G,Harvey P G,Harvey P G,Harvey P G,Harvey P G,Harvey P G
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haslock Garfield,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Hassell McConnell & Partners,Hassell McConnell & Partners,Hassell McConnell & Partners,Hassell McConnell & Partners,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Hawke & Pereira,Hawke & Pereira,Hawk & Pereira,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Hawkins R A,Hawkins R A,Hawkins R A,Hawkins R A,Hawkins R A,Hawkins R A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haydon C H,Haydon C H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hayes & Scott,Hayes & Scott,Hayes & Scott,Hayes & Scott,,,,,Hayes & Scott,,,,,,,Hayes & Scott,Hayes & Scott,Hayes & Scott,Hayes & Scott,,,,Hayes & Scott,Hayes & Scott,Hayes & Scott,Hayes & Scott,Hayes & Scott,Hayes & Scott,Hayes & Scott,Hayes & Scott
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Hayes E J,Hayes E J,Hayes E J,Hayes E J,Hayes E J,Hayes E J,,Hayes E J,Hayes E J,Hayes E J,Hayes E J,Hayes E J,Hayes E J,Hayes E J,Hayes E J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Hayes Scott & Henderson,Hayes Scott & Henderson,Hayes Scott & Henderson,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Heathwood Peter,Heathwood Peter,Heathwood Peter,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Heathwood Peter D,Heathwood Peter D,Heathwood Peter D,Heathwood Peter D,Heathwood Peter D,Heathwood Peter D,,,Heathwood Peter D,Heathwood Peter D,Heathwood Peter D,Heathwood Peter D,Heathwood Peter D,Heathwood Peter D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Heathwood Peter D & Partners,Heathwood Peter D & Partners,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heathwood Willis & Partners Pty Ltd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Hebron E K D,Hebron E K D,Hebron E K D,Hebron E K D,Hebron E K D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Helmond E C,Helmond E C,Helmond E C,Helmond E C,Helmond E C,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Henderson G T,Henderson G T,Henderson G T,Henderson G T,Henderson G T,Henderson G T,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Henderson R B,Henderson R B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Hennessey & Hennessey,Hennessey & Hennessey,Hennessey & Hennessey,Hennessey & Hennessey,Hennessey & Hennessey,Hennessey & Hennessey,Hennessey & Hennessey,Hennessey & Hennessey,Hennessey & Hennessey,Hennessey & Hennessey,Hennessey & Hennessey
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hennessey Hennessey & Co,Hennessey Hennessey & Co,Hennessey Hennessey & Co,Hennessey Hennessey & Co,Hennessey Hennessey & Co,Hennessey Hennessey & Co,Hennessey Hennessey & Co,Hennessey Hennessey & Co,Hennessey Hennessey & Co,Hennessey Hennessey & Co,Hennessey Hennessey & Co,Hennessey Hennessey & Co,Hennessey Hennessey & Co,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hennessy, Hennessy & Co","Hennessy, Hennessy & Co","Hennessy, Hennessy & Co","Hennessy, Hennessy & Co","Hennessy, Hennessy & Co","Hennessy, Hennessy & Co",Hennessy Hennessy & Co,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Hitch & Sinnamon,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Hitch John,Hitch John,Hitch John,Hitch John,Hitch John,Hitch John,Hitch John,,Hitch John,Hitch John,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Hobrough David W,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Hodgen O F,Hodgen O F,Hodgen O F,Hodgen O F,Hodgen O F,Hodgen O F,Hodgen O F,Hodgen O F,Hodgen O F,Hodgen O F,Hodgen O F,Hodgen O F,Hodgen O F,Hodgen O F,Hodgen O F
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Holmes F R,Holmes F R,Holmes F R,Holmes F R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Hopgood R J,Hopgood R J,Hopgood R J,Hopgood R J,Hopgood R J,Hopgood R J,Hopgood R J,Hopgood R J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Horne A W,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Howes Trevor,Howes Trevor,Howes Trevor,Howes Trevor,Howes Trevor
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Hulme & Webster,Hulme & Webster,Hulme & Webster,Hulme & Webster
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Hulme G A,Hulme G A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Hulme Graham,Hulme Graham,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Hurst Maurice,Hurst Maurice,Hurst Maurice,Hurst Maurice,Hurst Maurice,Hurst Maurice,Hurst Maurice,Hurst Maurice,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hurst Maurice Architect
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Hutchison J E,Hutchison J E,Hutchison J E,Hutchison J E,Hutchison J E,Hutchison J E,Hutchison J E,Hutchison J E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hutton Geo G,Hutton Geo G,Hutton Geo G,Hutton Geo G,Hutton Geo G,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Hutton Theo B,Hutton Theo B,Hutton Theo B,Hutton Theo B,Hutton Theo B,Hutton Theo B,Hutton Theo B,Hutton Theo B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Innes Alan,Innes Alan,Innes Alan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Jackson I J,Jackson I J,Jackson I J,Jackson I J,Jackson I J,Jackson I J,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Jacobsohn H,Jacobsohn H,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Jago A E,Jago A E,Jago A E,Jago A E,Jago A E,Jago A E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,James Leslie,James Leslie,James Leslie,James Leslie,James Leslie
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamieson W S,Jamieson W S,Jamieson W S,Jamieson W S
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Jenkins I D,Jenkins I D,Jenkins I D,Jenkins I D,Jenkins I D,Jenkins I D,Jenkins I D,Jenkins I D,Jenkins I D,Jenkins I D,Jenkins I D,Jenkins I D,Jenkins I D,Jenkins I D,Jenkins I D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Jessup Colin W,Jessup Colin W,Jessup Colin W,Jessup Colin W,Jessup Colin W,Jessup Colin W,Jessup Colin W,Jessup Colin W,Jessup Colin W,Jessup Colin W,Jessup Colin W,Jessup Colin W,Jessup Colin W,Jessup Colin W,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Job Aubrey H & Froud R P,Job Aubrey H & Froud R P,Job Aubrey H & Froud R P,Job Aubrey H & Froud R P,Job Aubrey H & Froud R P,Job Aubrey H & Froud R P,Job Aubrey H & Froud R P,Job Aubrey H & Froud R P,Job Aubrey H & Froud R P,Job Aubrey H & Froud R P,Job Aubrey H & Froud R P,Job Aubrey H & Froud R P,Job Aubrey H & Froud R P,Job Aubrey H & Froud R P,Job Aubrey H & Froud R P,Job Aubrey H & Froud R P,Job Aubrey H & Froud R P,Job Aubrey H & Froud R P,Job Aubrey H & Froud R P
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Job William J & Asscts,Job William J & Asscts,Job William J & Asscts,Job William J & Asscts,Job William J & Asscts,Job William J & Asscts,Job William J & Asscts,Job William J & Associates,Job William J & Associates,Job William J & Associates,Job William J & Associates,Job William J & Associates,Job William J & Associates
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,John Aubrey H & Fround R P,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,John Dawson J,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Johnston Fergus,Johnston Fergus,Johnston Fergus,Johnston Fergus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Jones Derek,Jones Derek,Jones Derek,Jones Derek,Jones Derek,Jones Derek
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Jones L W,,Jones L W,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jones Laurence M,Jones Laurence M,Jones Laurence M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamols A,Kamois A,Kamois A,Kamois A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Karl Langer,Karl Langer,Karl Langer,Langer K,Langer Karl,Langer Karl,Langer Karl,Langer Karl,Langer Karl,Langer Karl,Langer Karl,Langer Karl,Langer Karl,Langer Karl,Langer Karl,Langer Karl,Langer Karl,Langer Karl,Langer Karl,Langer Karl,Langer Karl,Langer Karl,Langer Karl,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Kayser R J,,,Kayser R J,Kayser R J,Kayser R J,Kayser R J,Kayser R J,Kayser R J,Kayser R J,Kayser R J,Kayser R J,Kayser R J,Kayser R J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Keatinge P J,Keatinge P J,Keatinge P J,Keatinge P J,Keatinge P J,Keatinge P J,Keatinge P J,Keatinge P J,Keatinge P J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kelly L G
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kelly Len G,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Kelvey D W,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Kenny David C,Kenny David C,Kenny David C,Kenny David C,Kenny David C,Kenny David L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Kent D J,Kent D J,Kent D J,Kent D J,Kent D J,Kent D J,Kent D J,Kent D J,Kent D J,Kent D J,Kent D J,Kent D J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Kerney M W,Kerney M W,,,,,,,Kearney M W,Kearney M W,Kearney M W,Kearney M W,Kearney M W,Kearney M W,Kearney M W
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerr G E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerrison Cheesman Partnership The,Kerrison Cheesman Partnership The
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Kerrison Russell,Kerrison Russell,Kerrison Russell,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Kershaw J,Kershaw J,Kershaw J,Kershaw J,Kershaw J,Kershaw J,Kershaw J,Kershaw J,Kershaw J,Kershaw J,Kershaw J,Kershaw J,Kershaw J,Kershaw J,Kershaw J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kildey G Thomas,Kildey G Thomas
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Killoran Graham & Associates
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kilner Geoff L,Kilner Geoff L,Kilner Geoff L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kirkegard & Schellback Pty Ltd,Kirkegard & Schellback Pty Ltd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Kirkegard F G,,,Kirkegard F G,Kirkegard F G,Kirkegard F G,Kirkegard F G,Kirkegard F G,Kirkegard F G,Kirkegard F G,Kirkegard F G,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Kirkegard F G & Ellwood G F,Kirkegard F G & Ellwood G F,Kirkegard F G & Ellwood G F,Kirkegard F G & Ellwood G F,Kirkegard F G & Ellwood G F,Kirkegard F G & Ellwood G F,Kirkegard F G & Ellwood G F,Kirkegard F G & Ellwood G F,Kirkegard F G & Ellwood G F,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Kirkegard Fredrick G,Kirkegard Fredrick G,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kirkegard, Ellwood & Partners",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kirkwood A J,Kirkwood A J,Kirkwood A J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kneebone Trevor,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kornman P R,Kornman P R,Kornman P R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Krams E A,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Kulley L,Kulley L,,,,Kulley L,Kulley L,Kulley L,Kulley L,Kulley L,Kulley L,Kulley L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kulley Lorant,Kulley Lorant,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyle S J Marquis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Lambert P A,Lambert P A,Lambert P A,Lambert P A,Lambert P A,Lambert P A,Lambert P A,Lambert P A,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Lambert Peter,Lambert Peter,Lambert Peter,Lambert Peter,Lambert Peter,Lambert Peter,Lambert Peter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lee A J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lee Austin & Associates
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Lee Austin J,Lee Austin J,Lee Austin J,Lee Austin J,Lee Austin J,Lee Austin J,Lee Austin J,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Lee H Shun,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lee L M,,Lee L Marcus,,,,,,,,,,Lee L Marcus,Lee L Marcus,Lee L Marcus,Lee L Marcus,Lee L Marcus,Lee L Marcus,Lee L Marcus,Lee L Marcus,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Lee L Marcus & Sons,Lee L Marcus & Sons,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Lee Shun H,,,Lee Shun H,Lee Shun H,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Legg J D,Legg J D,,,,,,Legg J D,Legg J D,Legg J D,Legg J D,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Leith A C & Bartlett H,Leith A C & Bartlett H,Leith A C & Bartlett H,Leith A C & Bartlett H,Leith A C & Bartlett H,Leith A C & Bartlett H,Leith A C & Bartlett H,Leith A C & Bartlett H,Leith A C & Bartlett H,Leith A C & Bartlett H,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leman L F
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Leven & Grimpel,Leven & Grimpel,Leven & Grimpel,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Leven J F,Leven J F,Leven J F,,,,,Leven J F,Leven J F,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Lewis B J,Lewis B J,Lewis B J,Lewis B J,Lewis B J,Lewis B J,Lewis B J,Lewis B J,Lewis B J,Lewis B J,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Lewis B J & Williams G S,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Lewis Williams & Asscts Pty Ltd,Lewis Williams & Asscts Pty Ltd,Lewis Williams & Asscts Pty Ltd,Lewis Williams & Asscts Pty Ltd,Lewis Williams & Asscts Pty Ltd,Lewis Williams & Associates Pty Ltd,Lewis Williams & Associates Pty Ltd,Lewis Williams & Associates Pty Ltd,Lewis Williams & Associates Pty Ltd,Lewis Williams & Associates Pty Ltd,Lewis Williams & Associates Pty Ltd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Lincoln Bruce A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Litfin G H,Litfin G H,Litfin G H,Litfin G H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Littlemore & Associates Pty Ltd,Littlemore & Associates Pty Ltd,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lloyd C,Lloyd C,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Locke P J,Locke P J,Locke P J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Longland Arch T,Longland Arch T,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Lorimer Lorimer & Asscts Pty Ltd,Lorimer Lorimer & Asscts Pty Ltd,Lorimer Lorimer & Asscts Pty Ltd,Lorimer Lorimer & Asscts Pty Ltd,Lorimer Lorimer & Asscts Pty Ltd,Lorimer Lorimer & Asscts Pty Ltd,Lorimer Lorimer & Associates Pty Ltd,Lorimer Lorimer & Associates Pty Ltd,Lorimer Lorimer & Associates Pty Ltd,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Lorimer Lorimer & Associate,Lorimer Lorimer & Associate,Lorimer Lorimer & Associate,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Loynes S R,Loynes S R,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Loynes Selwyn R,Loynes Selwyn R,Loynes Selwyn R,Loynes Selwyn R,Loynes Selwyn R,Loynes Selwyn R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Lumley A H,Lumley A H,Lumley A H,Lumley A H,Lumley A H,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Lumley Arthur,Lumley Arthur,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lumley Arthur & Nevil Tait,Lumley Arthur & Nevil Tait,Lumley Arthur & Nevil Tait
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
