1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1970,1970-71,1971-72,1972-73,1973-74,1974-75,1975-76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Buchanan E M,Buchanan E M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Buchanan Eric,Buchanan Eric,Buchanan Eric,Buchanan Eric,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bullpitt E M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Burgess R E,Burgess R E,,Burgess R E,Burgess R E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Burke G J,Burke G J,Burke G J,Burke G J,Burke G J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burke Graham & Associates,Burke Graham & Associates,Burke Graham & Associates
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Burke R A,Burke R A,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Burke Raymond,Burke Raymond,Burke Raymond,Burke Raymond
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Burnett N R,Burnett N R,Burnett N R,Burnett N R,Burnett N R,Burnett N R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Burrows G M,,,,Burrows G M,Burrows G M,Burrows G M,Burrows G M,Burrows G M,Burrows G M,Burrows G M,Burrows G M,Burrows G M,Burrows G M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Butler G S,Butler G S,Butler G S,Butler G S,Butler G S,Butler G S,Butler G S,Butler G S,Butler G S,Butler G S,Butler G S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Butler George S,Butler George S,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Butt E A,Butt E A,Butt E A,Butt E A,Butt E A,Butt E A,Butt E A,Butt E A,Butt E A,Butt E A,Butt E A,Butt E A,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Butt Edwin A,Butt Edwin A,Butt Edwin A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Callaghan D,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Callaghan Daniel,Callaghan Daniel,Callaghan Daniel,Callaghan Daniel
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Campbell Dogulas,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Campbell Douglas W,Campbell Douglas W,Campbell Douglas W,Campbell Douglas W,Campbell Douglas W,Campbell Douglas W,Campbell Douglas W,Campbell Douglas W,Campbell Douglas W,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Cardillo M A,Cardillo M A,Cardillo M A,Cardillo M A,Cardillo M A,Cardillo M A,Cardillo M A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Carlyle H J,Carlyle H J,Carlyle H J,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Carr W H,,,,,Carr W H,Carr W H,Carr W H,Carr W H,Carr W H,Carr W H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cavanagh & Cavanagh,Cavanagh & Cavanagh,Cavanagh & Cavanagh,,Cavanagh & Cavanagh,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chambers & Ford,Chambers & Ford,Chambers & Ford,Chambers & Ford,Chambers & Ford,Chambers and Ford,Chambers & Ford,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Chambers N Rodney,Chambers N Rodney,Chambers N Rodney,Chambers N Rodney,Chambers N Rodney,Chambers N Rodney
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Channer J N,Channer J N,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Charlton I D,Charlton I D,Charlton I D,Charlton I D,Charlton I D,,,,,,,,,Charlton I D,Charlton I D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cheesman David,Cheesman David,Cheesman David
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Chen Spencer,Chen Spencer,Chen Spencer,Chen Spencer,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Cheong K Q,Cheong K Q,Cheong K Q,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Chiverrell F E,,,,,,,,,,Chiverrell F E,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Chiverrell F E & Rubis J V,Chiverrell F E & Rubis J V,Chiverrell F E & Rubis J V,Chiverrell F E & Rubis J V,Chiverrell F E & Rubis J V,Chiverrell F E & Rubis J V,Chiverrell F E & Rubis J V,Chiverrell F E & Rubis J V,Chiverrell F E & Rubis J V,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Christopherson Peter F,Christopherson Peter F,Christopherson Peter F,Christopherson Peter F,Christopherson Peter F,Christopherson Peter F
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clarke Gazzard Planners Pty Ltd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Clarke Gazzard Pty Ltd,Clarke Gazzard Pty Ltd,Clarke Gazzard Pty Ltd,Clarke Gazzard Pty Ltd,Clarke Gazzard Pty Ltd,Clarke Gazzard Pty Ltd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Clarke Graham,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Clarke Robert C,Clarke Robert C,Clarke Robert C,Clarke Robert C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Clarkson I H M,Clarkson I H M,Clarkson I H M,Clarkson I H M,Clarkson I H M,Clarkson I H M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Clayton R V,Clayton R V,Clayton R V,Clayton R V,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Codd E T,Codd E T,Codd E T,Codd E T,Codd E T,Codd E T,Codd E T,Codd E T
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Codd Hopgood & Asscts Pty Ltd,Codd Hopgood & Asscts Pty Ltd,Codd Hopgood & Asscts Pty Ltd,Codd Hopgood & Asscts Pty Ltd,Codd Hopgood & Asscts Pty Ltd,Codd Hopgood & Asscts Pty Ltd,Codd Hopgood & Asscts Pty Ltd,Codd Hopgood & Associates Pty Ltd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coleman Oliver E,Coleman Oliver E,Coleman Oliver E,Coleman Oliver E,Coleman Oliver E,,,,Coleman O E,,,,,,,Coleman O E,Coleman O E,Coleman O E,Coleman O E,Coleman O E,Coleman O E,Coleman O E,Coleman O E,Coleman O E,Coleman O E,Coleman O E,Coleman O E,Coleman O E,Coleman O E,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Coleman Oliver E,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Collin & May,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collin & May Architects,Collin & May Architects,Collin & May Architects
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Collin J M & Fulton CWT,Collin J M & Fulton CWT,Collin J M & Fulton CWT,Collin J M & Fulton CWT,Collin J M & Fulton CWT,Collin J M & Fulton CWT,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collins G W
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collins J T,Collins J T
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conrad & Gargett,Conrad & Gargett,Conrad & Gargett,Conrad & Gargett,Conrad & Gargett,Conrad A H & Gargett T B F,Conrad A H & Gargett T B F,Conrad A H & Gargett T B F,Conrad A H & Gargett T B F,Conrad A H & Gargett T B F,Conrad A H & Gargett T B F,Conrad A H & Gargett T B F,Conrad A H & Gargett T B F,Conrad A H & Gargett T B F,Conrad A H & Gargett T B F,Conrad A H & Gargett T B F,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Conrad & Gargett,Conrad & Gargett,Conrad & Gargett,Conrad & Gargett,Conrad & Gargett,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Conrad & Gargett & Partners,Conrad & Gargett & Partners,Conrad & Gargett & Partners,Conrad & Gargett & Partners,Conrad & Gargett & Partners,Conrad & Gargett & Partners,Conrad & Gargett & Partners,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conrad & Gargett & Partners Pty Ltd,Conrad & Gargett & Partners Pty Ltd,Conrad & Gargett & Partners Pty Ltd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conrad Esler & Simpson Pty Ltd,Conrad Esler & Simpson Pty Ltd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Conrad Martin,Conrad Martin,Conrad Martin,Conrad Martin,Conrad Martin,,,,,,,,,,Conrad Martin,Conrad Martin,Conrad Martin,Conrad Martin,Conrad Martin,Conrad Martin,Conrad Martin,Conrad Martin,Conrad Martin,Conrad Martin,Conrad Martin,Conrad Martin,Conrad Martin,Conrad Martin,Conrad Martin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Conrad W A H,Conrad W A H,Conrad W A H,Conrad W A H,Conrad W A H,Conrad W A H,Conrad W A H,Conrad W A H,Conrad W A H,Conrad W A H,Conrad W A H,Conrad W A H,Conrad W A H,Conrad W A H,Conrad W A H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consultant Group Practice Pty Ltd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conwell I T
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
